version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,180145000,-241822350.34,538574276.06,240576932.78,0,4027.2
0,0,180146000,-241822394.36,538574231.71,240576942.72,0,3999.1
0,0,180147000,-241822446.41,538574185.14,240576948.33,0,3967.8
0,0,180148000,-241822494.43,538574136.97,240576956.19,0,3943.6
0,0,180149000,-241822548.32,538574091.83,240576975.35,0,3922.5
0,0,180150000,-241822603.91,538574040.37,240576991.01,0,3907.9
0,0,180151000,-241822664.38,538573866.56,240577026.49,0,3894.3
0,0,180152000,-241822715.7,538573785.69,240577122.43,0,3880.9
0,0,180153000,-241822732.94,538573729.76,240577228.02,0,3865.2
0,0,180154000,-241822705.49,538573689.23,240577348.25,0,3853.3
0,0,180155000,-241822645.26,538573684.18,240577467.58,0,3842.6
0,0,180156000,-241822563.52,538573622.02,240577570.86,0,3839.8
0,0,180157000,-241822482.93,538573581.06,240577675.4,0,3842.9
0,0,180158000,-241822451.57,538573505.07,240577763.79,0,3813.2
0,0,180159000,-241822397.98,538573472.41,240577859.3,0,3785.8
0,0,180160000,-241822326.73,538573431.73,240577937.2,0,3779.5
0,0,180161000,-241822173.74,538573436.53,240577987.63,0,3772.6
0,0,180162000,-241822018.14,538573440.16,240578050.65,0,3776.6
0,0,180163000,-241821875.75,538573494.53,240578112.77,0,3762.7
0,0,180164000,-241821724.49,538573494.08,240578130.19,0,3733.0
0,0,180165000,-241821587.45,538573563.26,240578109.85,0,3714.1
0,0,180166000,-241821426.08,538573622.84,240578095.82,0,3697.4
0,0,180167000,-241821316.65,538573659.25,240578050.43,0,3680.2
0,0,180168000,-241821224.37,538573729.66,240577997.0,0,3657.3
0,0,180169000,-241821151.05,538573820.93,240577945.2,0,3618.8
0,0,180170000,-241821095.75,538573911.22,240577883.68,0,3570.9
0,0,180171000,-241821027.06,538574027.54,240577794.09,0,3555.0
0,0,180172000,-241820945.86,538574058.0,240577677.9,0,3549.4
0,0,180173000,-241820877.61,538574128.67,240577605.94,0,3520.4
0,0,180174000,-241820808.57,538574230.93,240577542.97,0,3483.3
0,0,180175000,-241820708.27,538574248.65,240577440.0,0,3460.6
0,0,180176000,-241820615.99,538574324.98,240577353.6,0,3434.1
0,0,180177000,-241820526.24,538574418.3,240577280.78,0,3402.4
0,0,180178000,-241820453.13,538574515.58,240577215.71,0,3371.0
0,0,180179000,-241820384.31,538574610.13,240577155.1,0,3339.1
0,0,180180000,-241820305.85,538574700.76,240577084.65,0,3325.4
0,0,180181000,-241820227.08,538574818.12,240576998.08,0,3308.1
0,0,180182000,-241820148.06,538574934.37,240576916.64,0,3289.1
0,0,180183000,-241820072.85,538575046.29,240576839.25,0,3272.4
0,0,180184000,-241820002.49,538575148.6,240576756.19,0,3259.2
0,0,180185000,-241819940.77,538575257.66,240576668.93,0,3254.4
0,0,180186000,-241819884.41,538575361.39,240576597.37,0,3251.9
0,0,180187000,-241819815.16,538575469.87,240576527.65,0,3248.0
0,0,180188000,-241819758.89,538575564.97,240576442.95,0,3246.6
0,0,180189000,-241819763.86,538575634.33,240576334.42,0,3239.2
0,0,180190000,-241819822.11,538575667.21,240576231.95,0,3227.3
0,0,180191000,-241819921.42,538575676.26,240576150.87,0,3212.1
0,0,180192000,-241820031.65,538575666.71,240576090.3,0,3180.7
0,0,180193000,-241820160.12,538575632.36,240576050.42,0,3146.7
0,0,180194000,-241820293.77,538575593.1,240576021.01,0,3106.4
0,0,180195000,-241820431.49,538575551.65,240575999.64,0,3077.1
0,0,180196000,-241820559.8,538575504.58,240576006.27,0,3054.8
0,0,180197000,-241820676.29,538575456.92,240576040.92,0,3038.4
0,0,180198000,-241820794.64,538575395.11,240576093.23,0,3020.0
0,0,180199000,-241820910.69,538575329.42,240576147.38,0,3000.8
0,0,180200000,-241821028.24,538575267.3,240576179.68,0,2985.3
0,0,180201000,-241821138.97,538575214.71,240576201.69,0,2973.0
0,0,180202000,-241821241.75,538575157.88,240576238.38,0,2961.8
0,0,180203000,-241821351.69,538575103.26,240576283.02,0,2949.5
0,0,180204000,-241821467.08,538575054.77,240576331.47,0,2939.2
0,0,180205000,-241821578.57,538574998.97,240576382.91,0,2932.9
0,0,180206000,-241821677.29,538574917.08,240576436.93,0,2929.3
0,0,180207000,-241821783.0,538574833.71,240576492.68,0,2912.3
0,0,180208000,-241821898.14,538574748.48,240576552.66,0,2892.7
0,0,180209000,-241822009.36,538574681.83,240576618.31,0,2875.2
0,0,180210000,-241822121.79,538574621.11,240576676.82,0,2858.4
0,0,180211000,-241822219.27,538574554.67,240576726.59,0,2841.2
0,0,180212000,-241822292.75,538574496.07,240576751.71,0,2825.8
0,0,180213000,-241822377.99,538574443.21,240576790.55,0,2814.5
0,0,180214000,-241822467.19,538574399.43,240576824.58,0,2803.9
0,0,180215000,-241822529.94,538574344.18,240576842.76,0,2800.1
0,0,180216000,-241822580.54,538574286.84,240576852.24,0,2799.6
0,0,180217000,-241822630.77,538574222.85,240576861.68,0,2802.3
0,0,180218000,-241822679.73,538574161.49,240576874.43,0,2803.0
0,0,180219000,-241822727.22,538574104.35,240576885.45,0,2808.4
0,0,180220000,-241822771.0,538574040.37,240576899.07,0,2813.6
0,0,180221000,-241822867.91,538573969.99,240576960.77,0,2814.6
0,0,180222000,-241822975.29,538573901.59,240577037.53,0,2820.1
