timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
5.83329999999702,1,-0.5,10.8,-1.4,-71,-9.2
5.86779999999702,0.1,0.1,9.4,-30.5,-29.400000000000002,10.600000000000001
5.89329999999702,0.2,0.7000000000000001,10.100000000000001,-56.2,-26.300000000000004,44.300000000000004
5.907,0.6000000000000001,0.9,10.4,-62.50000000000001,-27,50.3
5.919399999991059,1,1,10.700000000000001,-66.9,-21.400000000000002,51.1
5.93279999999702,1.9000000000000001,0.7000000000000001,10.100000000000001,-74.2,26.700000000000003,40
5.9495,2.1,-0.4,8.9,-79.8,89.5,31.6
5.966099999994039,1.7000000000000002,-0.6000000000000001,9.200000000000001,-79.1,112.4,39
5.98629999999702,0.30000000000000004,-0.2,9.200000000000001,-69.3,146.8,79.9
6.0003999999910596,-0.30000000000000004,-0.30000000000000004,9.3,-38.7,160.50000000000003,118.00000000000001
6.016199999988079,-0.7000000000000001,0,10.9,-14,156.10000000000002,128.60000000000002
6.033199999988079,-0.30000000000000004,-4.5,10.9,27.800000000000004,87.10000000000001,56.7
6.05139999999106,-2.3000000000000003,0.7000000000000001,9.600000000000001,62.199999999999996,29,-72.80000000000001
6.066199999988079,-2.1,1.3,9.8,85.80000000000001,16.3,-67.3
6.08279999999702,-1,-1.3,12.3,115.20000000000002,-58.1,-69.00000000000001
6.099599999994039,-1.7000000000000002,-0.7000000000000001,11.8,107.00000000000001,-193,-78.80000000000001
6.1165999999940395,-1.2000000000000002,-1,10.200000000000001,108.60000000000001,-187.10000000000002,-74.5
6.13279999999702,1.2000000000000002,-2.8000000000000003,8.9,82.2,-79.7,-46.7
6.15109999999404,1.7000000000000002,-0.7000000000000001,9,23.800000000000004,12.5,12
6.169599999994039,0.4,0.5,9.200000000000001,-20,36.9,35.4
6.19029999999702,0,0.6000000000000001,10.100000000000001,-17.200000000000003,-3.4,-7.8
6.2055,-0.2,0.1,10.200000000000001,-8.3,-14.600000000000001,-13.100000000000001
6.22279999999702,0,-1,8.9,-13.700000000000001,-18.5,-4.300000000000001
6.23759999999404,0.5,-0.2,10,-36.400000000000006,-45.9,-20.900000000000002
6.251199999988079,-0.30000000000000004,0.7000000000000001,10.5,-34.7,-62.300000000000004,-22.8
6.27009999999404,-0.5,2,10.4,-3.6000000000000005,-72,-15.399999999999999
6.291399999991059,1.1,1.1,9.5,23.6,-89.70000000000002,-18.900000000000002
6.307199999988079,1.4000000000000001,0.5,9.1,29.600000000000005,-89.5,-22.1
6.331399999991059,1.2000000000000002,1.2000000000000002,8.5,21.1,-45.2,-12.600000000000001
6.360599999994039,2.1,1.4000000000000001,8.1,-8.3,-10.700000000000001,-12
6.383699999988079,1.3,1.3,8.6,-22.5,-29.900000000000006,-18.8
6.4,0.30000000000000004,1.2000000000000002,9.3,-22.3,-27.700000000000003,-1.4
6.41629999999702,0.5,1.1,9.1,-20.7,-20.900000000000002,10.299999999999999
6.43279999999702,1.9000000000000001,0.6000000000000001,9,-24.5,3.7000000000000006,21.7
6.449399999991059,2.2,0.4,9.4,-31.799999999999997,38,15.899999999999999
6.466699999988079,1.7000000000000002,0.4,9.5,-34.400000000000006,56,10.700000000000001
6.483199999988079,1.3,0.4,9.700000000000001,-31.9,45.5,6.600000000000001
6.5015,0.7000000000000001,0.4,9.9,-17.400000000000002,8.4,-0.8
6.51829999999702,0.4,0.30000000000000004,9.4,-4.5,6.300000000000001,4.2
6.537299999997019,0.6000000000000001,0.1,9,-13.000000000000002,37.50000000000001,14.300000000000002
6.552599999994039,0.6000000000000001,0,9.3,-20,57.699999999999996,18.200000000000003
6.568399999991059,0.7000000000000001,0,9.9,-21.400000000000002,71,19.6
6.585699999988079,0.4,0.5,9.9,-10.299999999999999,44.7,9.700000000000001
6.60479999999702,0.2,0.6000000000000001,9.8,-6,22.9,3.5
6.62189999999106,-0.30000000000000004,0.1,9.8,-1.8000000000000003,4.300000000000001,-4.300000000000001
6.638,-0.8,-0.1,10,-3.6000000000000005,12.7,7.8
6.658599999994039,0.1,-0.1,10.5,-6.1000000000000005,34.800000000000004,20.3
6.675,0.7000000000000001,0,10.4,-3,59.20000000000001,15.5
6.693199999988079,0.5,0,10.100000000000001,-2.3,57.699999999999996,7.1000000000000005
6.7105,-0.2,0,9.8,-1.3,25.6,-7.200000000000001
6.731399999991059,-1,0.1,10,2.5,-9,-10
6.7503999999910596,-0.9,-0.1,10.3,8.600000000000001,-23.099999999999998,-5.500000000000001
6.76859999999404,-0.4,-0.1,9.8,12.9,-15.000000000000002,-0.5
6.78829999999702,0,0.2,9,5.300000000000001,3.3000000000000007,-1.1
6.8115,0,0.2,8.8,-10.9,7.699999999999999,-9.2
6.8335,-0.6000000000000001,0,9.700000000000001,-19,3.7000000000000006,-15.6
6.854199999988079,-1.2000000000000002,-0.2,10.4,-4.5,-7.6,-8.700000000000001
6.8745,-1.2000000000000002,-0.1,10.4,1.7,-9.2,-3.5
6.897599999994039,-0.30000000000000004,0.2,9.200000000000001,3.4,11.5,2.7
6.91759999999404,-0.4,0.30000000000000004,9.200000000000001,-3.1,13.8,-1.5
6.941399999991059,-0.8,0.4,9.4,-1.9,1.8000000000000003,-4.7
6.961399999991059,-0.9,0.4,9.3,2.9,-11.5,-5
6.980599999994039,-0.9,0.2,9.600000000000001,3,-21.500000000000004,-3.3000000000000007
7.002,-0.30000000000000004,0.30000000000000004,9.8,4.1,-6.8,-0.7
7.024199999988079,-0.2,0.5,9.5,-1.9,14.900000000000002,-2.8
7.0475999999940395,-0.30000000000000004,0.5,9.600000000000001,-8.100000000000001,6.500000000000001,-8
7.072899999991059,-0.8,0.30000000000000004,10.200000000000001,-4.6,-11.4,-13.3
7.09679999999702,-0.5,0.7000000000000001,10.3,4.800000000000001,-11.8,-8.899999999999999
7.118699999988079,-0.2,1.2000000000000002,10,10,1.3,-9.700000000000001
7.1383999999910595,-0.30000000000000004,1.4000000000000001,9.700000000000001,12.100000000000001,7.6,-11.8
7.15929999999702,-0.6000000000000001,1.4000000000000001,9.600000000000001,10.4,1.9,-13.700000000000001
7.1812999999970195,-0.7000000000000001,1.2000000000000002,9.9,7.500000000000001,-3.8,-14.700000000000001
7.205099999994039,-0.7000000000000001,1.2000000000000002,10.200000000000001,4.7,-4.800000000000001,-15.000000000000002
7.2270999999940395,-0.7000000000000001,1.1,10.4,7,-1.5,-16.3
7.253899999991059,-1,1,10.600000000000001,6.8,0.5,-13.900000000000002
7.27739999999106,-0.8,1,11,8.2,-5.9,-11.4
7.303199999988079,-0.4,0.9,11.200000000000001,19.300000000000004,-3.6000000000000005,-11.900000000000002
7.326199999988079,-0.5,0.9,11.100000000000001,26.300000000000004,3.3000000000000007,-12.200000000000001
7.35009999999404,-0.6000000000000001,0.8,10.600000000000001,26.200000000000003,-1,-13.3
7.372399999991059,-0.7000000000000001,0.8,10.4,20.1,-7.699999999999999,-13.000000000000002
7.395599999994039,-0.4,0.4,10.5,18.3,-8.4,-12
7.4210999999940395,-0.30000000000000004,0.2,10.100000000000001,10.700000000000001,-4.800000000000001,-11.2
7.44779999999702,-0.4,-0.2,10,-0.2,-6.1000000000000005,-10.700000000000001
7.4705,-0.30000000000000004,-0.8,10.3,-6.4,-5,-6.4
7.500099999994039,0.1,-1.2000000000000002,10.5,0.30000000000000004,12.200000000000001,3.1
7.526,-0.2,-1.1,9.600000000000001,7,6,6.300000000000001
7.54989999999106,0,-1,9,5.300000000000001,-5.9,9
7.58079999999702,0.2,-1,9.600000000000001,-1.1,1.5,13.5
7.6035,0.5,-1,9.700000000000001,-0.6000000000000001,4.300000000000001,14.5
7.6296999999880795,0.8,-0.7000000000000001,10,0,-0.6000000000000001,10.1
7.65679999999702,0.8,-0.8,10,5.8,-2.8,6.699999999999999
7.68379999999702,1,-0.8,9.8,10.700000000000001,-2.5,1
7.710199999988079,0.5,-0.8,10.100000000000001,10.4,-4.6,-0.9000000000000001
7.734699999988079,0.4,-0.5,10.100000000000001,14.5,-5.8,2.5
7.758899999991059,0.7000000000000001,-0.30000000000000004,9.700000000000001,17.5,-0.1,1.4
7.783599999994039,0.7000000000000001,-0.2,8.9,12.4,-3.4,-3
7.80809999999404,0.4,-0.30000000000000004,9.1,4.7,-1.5,-2.3
7.8345,0.30000000000000004,-0.30000000000000004,9.3,1,12.4,3.8
7.859099999994039,0.4,-0.4,9.5,3.5,4.9,2.4000000000000004
7.888899999991059,0.30000000000000004,-0.4,9.8,8.3,7,4.6
7.91779999999702,-0.2,0.1,9.700000000000001,14.400000000000002,22.1,9.100000000000001
7.946,-0.4,0.8,8.9,18.700000000000003,4.6,9.2
7.9745,0.5,0.4,9.200000000000001,-7.300000000000001,-19.1,0.2
8.00239999999106,0.30000000000000004,-0.5,10.700000000000001,-17.1,13.100000000000001,1.5
8.03029999999702,-0.30000000000000004,-0.1,10.100000000000001,1.3,23.700000000000003,7.9
8.06429999999702,-0.4,0.30000000000000004,9.3,11.000000000000002,-12.5,3.7000000000000006
8.09129999999702,-0.30000000000000004,0.4,9.5,18.5,-16.900000000000002,4.2
8.11639999999106,0.1,0.8,8.6,9.4,4.9,4.1
8.14679999999702,0,0.9,9.200000000000001,-6.4,2.3,-3.9
8.173,0.1,0.7000000000000001,9.700000000000001,-9.899999999999999,-12.299999999999999,-6.699999999999999
8.198199999988079,0.30000000000000004,0.5,10.3,-11.900000000000002,-4.800000000000001,-7
8.2245,0.2,0.4,10.4,-9.8,13.399999999999999,-10
8.254,-0.7000000000000001,0.5,9.8,-5.8,15.700000000000001,-8.600000000000001
8.281099999994039,-0.30000000000000004,0.7000000000000001,9.200000000000001,-15.000000000000002,7.9,-4.6
8.31989999999106,-0.7000000000000001,0.5,10.200000000000001,-13.000000000000002,10.4,0.5
8.35629999999702,-0.6000000000000001,0.5,9.700000000000001,3.1,-3.5,2.4000000000000004
8.38509999999404,-0.8,0.5,9.3,1.3,-8.700000000000001,2.9
8.40989999999106,-0.4,0.6000000000000001,9.8,0,-2.9,5.300000000000001
8.43419999998808,-0.6000000000000001,0.6000000000000001,9.600000000000001,-2.3,-0.4,3
8.45869999998808,-0.7000000000000001,0.6000000000000001,9.700000000000001,-2.2,-3.3000000000000007,3.2
8.484599999994039,-0.6000000000000001,0.5,9.9,-0.8,-7.500000000000001,6.699999999999999
8.51,0,0.7000000000000001,10.3,0.8,-4.5,7.500000000000001
8.53759999999404,0.2,0.9,10.200000000000001,6.1000000000000005,4.800000000000001,3.9
8.57119999998808,-0.2,1.1,10,9.4,9.100000000000001,1.5
8.60169999998808,0.30000000000000004,1.6,10.200000000000001,14.200000000000001,5.8,-1.1
8.62829999999702,-0.1,2,9.700000000000001,22.5,2.3,-5.4
8.6525,0,2.1,9,22.3,-8.2,-6.500000000000001
8.67859999999404,0.1,2.4000000000000004,8.8,5.2,-5.1000000000000005,-5.8
8.7045,0,2.5,9.200000000000001,-3.8,16.200000000000003,-2.2
8.731799999997019,-0.1,2.5,9.4,-1.7,17.1,-0.7
8.75969999998808,0.2,2.9000000000000004,9.3,2.1,4.300000000000001,-0.9000000000000001
8.79019999998808,0.9,3.1,9.700000000000001,-3.5,-0.4,-6.9
8.81559999999404,0.6000000000000001,2.7,10,-7.6,12.4,-17.5
8.844,-0.2,2.3000000000000003,10.200000000000001,-5.1000000000000005,23.6,-17.7
8.8705,-0.6000000000000001,2.3000000000000003,10.5,10.200000000000001,13.700000000000001,-8.3
8.89629999999702,0,2.3000000000000003,9.9,24.5,-6.600000000000001,-10.200000000000001
8.922099999994039,-0.5,2.3000000000000003,9.5,23.800000000000004,-3.4,-14.700000000000001
8.948299999997019,-0.9,2.3000000000000003,9.600000000000001,17.400000000000002,10.600000000000001,-7.200000000000001
8.97369999998808,-0.7000000000000001,2.5,10.100000000000001,12.100000000000001,8.5,2.3
9.0005,-0.4,2.5,10.4,14.900000000000002,0.5,2.2
9.025,-0.2,2.2,10.700000000000001,19.6,-6.2,-3.2
9.04919999998808,-0.5,2,10.5,21.200000000000003,-3.9,-2.5
9.07389999999106,-1.1,1.8,10.9,22.3,5.1000000000000005,9.600000000000001
9.09929999999702,-1.1,1.6,10.9,33.1,5.9,17.300000000000004
9.1245,-1.1,1.6,9.9,37.800000000000004,-6.699999999999999,19.1
9.15519999998808,-0.6000000000000001,1.3,9.200000000000001,17.9,-21.1,14.400000000000002
9.18689999999106,-0.4,1.3,9.5,1.9,-14.200000000000001,10.600000000000001
9.2155,-0.7000000000000001,1.2000000000000002,9.200000000000001,-6.600000000000001,-5.2,10.1
9.244799999997019,-0.5,0.7000000000000001,9.8,-13.5,0.9000000000000001,7.8
9.271,-0.8,0.4,9.700000000000001,-11.900000000000002,-3.5,0.30000000000000004
9.29609999999404,-1,0.30000000000000004,9.8,-16.4,-14.200000000000001,1.9
9.323399999991059,-0.4,-0.30000000000000004,11.200000000000001,-17.799999999999997,-15.6,7.9
9.34979999999702,0.2,-0.2,10.700000000000001,5.7,-9.8,4.6
9.377,0,0,9.3,9.5,-12.200000000000001,-3.6000000000000005
9.40639999999106,-0.6000000000000001,0,8.700000000000001,-14.700000000000001,-3.2,-5.4
9.43329999999702,-0.7000000000000001,-0.30000000000000004,9.5,-20.3,12.100000000000001,-0.2
9.46359999999404,-0.30000000000000004,0,8.8,-10.200000000000001,8.5,-4.800000000000001
9.49819999998808,-1.2000000000000002,0,8.200000000000001,-20.8,7.9,-14.400000000000002
9.52839999999106,-1.8,-0.5,9.200000000000001,-29.600000000000005,11.700000000000001,-2.5
9.555799999997019,-0.9,-0.4,9.3,-23.099999999999998,10.700000000000001,2.5
9.58129999999702,-0.6000000000000001,-0.30000000000000004,9.5,-20.2,3.8,-3.1
9.6085,-0.9,-0.30000000000000004,10,-5.9,7.500000000000001,4.300000000000001
9.635199999988078,-1,0.5,9.5,7.1000000000000005,12.299999999999999,10.200000000000001
9.66089999999106,0,1,9,0.6000000000000001,6.1000000000000005,-3.3000000000000007
9.68829999999702,-0.5,0.8,10.3,-30.4,0.1,-18.4
9.715,-0.4,0.4,11.9,-34.60000000000001,9.100000000000001,-12
9.74659999999404,0.6000000000000001,0.30000000000000004,11.4,2.5,16.3,-5
9.776799999997019,0.1,0.4,9.1,2.9,-5.1000000000000005,-14.5
9.808899999991059,-1.5,0.30000000000000004,9.8,-12.200000000000001,24.7,4.4
9.83979999999702,-0.6000000000000001,0.6000000000000001,10,3.7000000000000006,4,16.900000000000002
9.87039999999106,-0.5,1.1,9.4,16.1,-23.6,10.299999999999999
9.89809999999404,-0.5,1.2000000000000002,9.1,6.2,-18.900000000000002,13.8
9.92479999999702,-0.30000000000000004,1,9.3,-8.600000000000001,-8.600000000000001,17.300000000000004
9.952399999991059,0.6000000000000001,1,10.4,-15.899999999999999,3.6000000000000005,9.4
9.979,-0.30000000000000004,1,10.100000000000001,3.8,11.6,-2.8
10.005,-0.9,1,9.3,10.200000000000001,5.7,-0.4
10.03329999999702,-0.5,1,8.8,0.30000000000000004,-3.1,3
10.06259999999404,-0.30000000000000004,0.8,9.3,-11.1,7,-1.2000000000000002
10.09459999999404,-0.9,0.7000000000000001,9.600000000000001,-5.9,12.100000000000001,-0.1
10.1325,-1,0.9,9.5,8.100000000000001,-7.500000000000001,2.1
10.16369999998808,-0.7000000000000001,1.1,9,-0.5,-13.000000000000002,-3.3000000000000007
