timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
5.4910000000000005,-0.17537629451975226,-2.1450585570275784,9.32840704934001,9.916448566297094,1.5838886385708109,3.9338525751107216
5.506,-0.5370505289375782,-2.177530209304392,9.604489012798666,8.18167528598859,1.3419741170612431,4.043292269295012
5.523,-0.6691803138617426,-2.18561005538553,9.725841602316498,6.31354597723017,1.1027839872568643,2.6862672967891172
5.54,-0.8652057209175079,-2.0810136626183984,9.916931744927167,0.6419956802682678,-0.6740952214898005,-0.5248069230271856
5.557,-0.840964429108426,-2.0033518923975526,9.765498489922285,-2.020162702937144,-2.3718175536761894,-2.9175447591617423
5.573,-0.762853526880592,-2.021457604061067,9.562288870450853,-0.3344632379176967,-0.42444513721922317,-2.349551563868771
5.59,-0.5614415314156562,-2.0890946777433155,9.35863559886515,5.180675433566223,1.6232603035459974,0.1892959314227663
5.606,-0.5258275625251233,-2.0850535856589674,9.558997427690029,6.354958267941604,2.657120531723146,1.8203463725420674
5.623,-0.58942361718826,-2.0726342490687966,9.699659113311768,4.5816516216568255,3.453459757574337,2.4886212590028123
5.64,-0.9127904789131134,-2.1538871756494045,9.696365916985274,1.2440368883260766,2.481040175910921,-1.0371119318306032
5.656,-0.9329914823554456,-2.1125870508812366,9.621097617772222,-1.3680305416929015,-0.038116591034770185,-4.434178019079319
5.673,-0.756119980841875,-2.0217574637904763,9.50004254989624,-1.61090459805915,-0.2924958609340674,-4.006886080358376
5.69,-0.36676278972849247,-2.0190636946618556,9.300573870518804,0.7872977095765341,-0.7582873348505511,-1.3658024059195963
5.706,-0.43095761400237675,-2.0997190937407315,9.29489114870727,3.3711570452927413,0.18479194193345858,1.709327090390505
5.723,-0.504429458252713,-2.153139133761078,9.360279858940839,4.128270067853726,1.1875233695248621,3.0794304877747996
5.74,-0.6842937849067151,-2.153737684176117,9.542837735527753,3.1050445509359936,1.128287380009163,2.735287991349122
5.756,-0.7962227125190198,-2.050038678640127,9.58338894162476,1.8135518284217855,-0.724493533188885,1.0762021716676442
5.773,-0.7691383793037384,-1.9595079283654688,9.547925414055586,0.9115438131383848,-1.945242571374686,0.1380460738930384
5.79,-0.7478899857003242,-1.82288923452422,9.38497240164876,1.1993424782750404,-2.258402049064716,0.04342834377492447
5.806,-0.5464776979744435,-1.6753467033475637,9.362975673896074,4.928050641829546,1.088027790441875,3.5377302046671315
5.823,-0.5413900925118476,-1.7241285621732472,9.530269930377601,7.471425258540119,5.640342042066203,7.339262805647665
5.84,-1.068563370557502,-1.9743226356595753,9.91543712245524,6.823472959624513,9.651411613291211,7.616734118037556
5.856,-1.565509706513211,-2.1507449321009218,9.976038013890385,1.3093750115349476,7.515738672101516,-1.054796892417353
5.873,-1.427094630774483,-2.1386235555440187,9.882960501742362,-2.862835584240175,1.8405372655022714,-7.491030462778995
5.89,-0.5943617311775684,-2.075627001143992,9.462931839641929,-4.989051488193753,-3.691948192163203,-8.40747024089181
5.906,-0.21607794193811714,-1.9744721271328627,8.68811008093953,-0.4588394085584686,-6.448457581263555,-3.746263563990437
5.923,-0.21637707101516424,-1.9122224455773829,8.388831950810552,7.7589565858037925,-3.6568615103968476,0.6995113692476229
5.939,-0.23029329509958624,-1.8207935774192212,8.502555360624193,13.56134230460761,-4.104516804354538,3.798753567761985
5.956,-0.6792061794441193,-1.687466764730215,8.598175542992353,18.250876764204786,-7.958054892562371,2.828077178440803
5.973,-0.8381213146369904,-1.674597930806875,8.61298908124268,23.843620071718817,-8.763551054213023,0.0820903627675172
5.989,-0.8876515076119452,-1.5764362472623585,8.847773404151202,27.77935607149317,-5.294137255398005,-0.15991776701823407
6.006,-0.7671927981939166,-1.5098464906759559,9.57814870288372,23.198010100801703,1.2372196124824635,1.7806034227524672
6.023,-0.7664450485665351,-1.657839103707671,9.891944603186845,14.579568123052892,1.1518060691990442,1.061961013804756
